After_taken_pixel,CPU,RAM,ROM,S5G,inner_href,name,phone_name,pic,price,resolution
5000万像素,骁龙8 Gen 1,8GB,256GB,支持5G,https://item.jd.com/100033910926.html,荣耀荣耀手机,,https://img11.360buyimg.com/n7/jfs/t1/150298/13/25189/183955/6247c20fE8448b663/99012ff279f5736b.jpg,4499.00,全高清FHD+
1亿像素,骁龙750G,8GB,256GB,支持5G,https://item.jd.com/100016799352.html,小米Redmi Note9 Pro,,https://img12.360buyimg.com/n7/jfs/t1/142405/30/15860/47809/5fbe0736E3284d091/0b92f82917a9c400.jpg,1349.00,全高清FHD+
1300万像素,其他,4GB,64GB,不支持5G,https://item.jd.com/100014348492.html,小米Redmi 9A,,https://img12.360buyimg.com/n7/jfs/t1/113015/36/23197/186422/6245bd3fE4fcfa496/b67b1eb49a1c4dab.jpg,599.00,其他
4800万像素,暂无型号,8GB,128GB,支持5G,https://item.jd.com/100016931023.html,荣耀X30,,https://img13.360buyimg.com/n7/jfs/t1/171841/10/27798/171793/61f36352E89b70986/ffabdb985f15ecc2.jpg,1699.00,其他
6400万像素,MediaTek Helio G80,8GB,128GB,不支持5G,https://item.jd.com/100013102509.html,荣耀Play5T Pro,,https://img14.360buyimg.com/n7/jfs/t1/180738/35/17355/221785/6107e04aE152a6c7c/82b4fb0cf37fd718.jpg,1099.00,全高清FHD+
4800万像素,骁龙870,8GB,128GB,支持5G,https://item.jd.com/100011414185.html,vivoiQOO Neo5 活力版,,https://img10.360buyimg.com/n7/jfs/t1/215402/34/13737/101557/622035acE73583100/3c3b09beb513e1ba.jpg,1799.00,其他
1300万像素,Unisoc T610,8GB,128GB,不支持5G,https://item.jd.com/100011493273.html,荣耀play5T 4G,,https://img13.360buyimg.com/n7/jfs/t1/222004/30/9819/164880/61f3931dEc8688269/1de097576a19b1cc.jpg,1049.00,高清HD+
1200万像素,其他,其他,128GB,支持5G,https://item.jd.com/100009077475.html,AppleiPhone 12,,https://img10.360buyimg.com/n7/jfs/t1/132022/23/12216/60913/5f86195bEacd08599/c5dc348d3f943324.jpg,5199.00,其他
未知后摄像素,暂无型号,其他,128GB,支持5G,https://item.jd.com/100026667880.html,AppleiPhone 13,,https://img10.360buyimg.com/n7/jfs/t1/128930/6/25398/106509/62286809Ecde9efc5/16e8ebc319a86f4c.jpg,5999.00,其他
6400万像素,天玑900,8GB,128GB,支持5G,https://item.jd.com/100028073488.html,荣耀Play5 活力版,,https://img13.360buyimg.com/n7/jfs/t1/219743/31/983/108306/616e758aEc8fea4d3/1a18abe36a5d8ce9.jpg,1399.00,全高清FHD+
5000万像素,其他,6GB,128GB,支持5G,https://item.jd.com/100028235502.html,小米Redmi Note 11 5G,,https://img12.360buyimg.com/n7/jfs/t1/128096/16/27285/56204/62466b26Ec83f9ded/de4d40f4c5ef002a.jpg,1299.00,全高清FHD+
未知后摄像素,暂无型号,8GB,128GB,不支持5G,https://item.jd.com/10039292053627.html,新款X13promax超薄电竞游戏智能手机旗舰机可用5G移动电信卡老人学生老年机关爱心 初雪水晶【6+64G】,,https://img12.360buyimg.com/n7/jfs/t1/210989/8/14791/138427/61d1b702Efa99a392/41fbc381203ecc05.jpg,579.00,全高清FHD+
10800万像素,暂无型号,其他,其他,支持5G,https://item.jd.com/100016333567.html,荣耀60,,https://img12.360buyimg.com/n7/jfs/t1/145793/24/22261/224131/61f15dc6E5f10a14a/5efdabc184e4a590.jpg,2499.00,全高清FHD+
1200万像素,暂无型号,其他,256GB,支持5G,https://item.jd.com/100026667878.html,AppleiPhone 13 Pro,,https://img13.360buyimg.com/n7/jfs/t1/116858/19/21528/35201/6231b0f6E63adb8cc/0e8b7399d1a22712.jpg,8799.00,其他
4800万像素,骁龙870,12GB,256GB,支持5G,https://item.jd.com/100018902008.html,vivoiQOO Neo5,,https://img13.360buyimg.com/n7/jfs/t1/207875/11/19162/98032/6227204cEe94012ec/7cd10e2bf4c2ead0.jpg,2699.00,其他
4800万像素,骁龙888,12GB,256GB,支持5G,https://item.jd.com/100024540670.html,vivoiQOO 8,,https://img10.360buyimg.com/n7/jfs/t1/121261/28/27278/85503/6245c2d3E85750ed4/aa98a16a7a9e179d.jpg,2998.00,全高清FHD+
4800万像素,其他,6GB,128GB,支持5G,https://item.jd.com/100020269344.html,OPPOK7x,,https://img14.360buyimg.com/n7/jfs/t1/106976/26/26081/102608/6246e1f5Eaf8b7a24/94f5812294ae1a65.jpg,1199.00,全高清FHD+
5000万像素,天玑900,6GB,128GB,支持5G,https://item.jd.com/100027638300.html,vivoiQOO Z5x,,https://img10.360buyimg.com/n7/jfs/t1/214337/4/16265/81542/6245cd53E1ca20cfa/1357d1791bff3383.jpg,1499.00,其他
4800万像素,骁龙870,8GB,256GB,支持5G,https://item.jd.com/100021007462.html,小米Redmi K40 5G,,https://img12.360buyimg.com/n7/jfs/t1/160762/1/21174/122444/6086806cE3a154c90/9a42dd07328d9c2d.jpg,2499.00,全高清FHD+
未知后摄像素,暂无型号,8GB,128GB,不支持5G,https://item.jd.com/10043592059729.html,新款百事乐S13pro超薄便宜智能手机学生价电竞游戏长续航百元大屏可用5g卡鸿蒙HMS生态老人老年机 星愿粉 6+128GB,,https://img14.360buyimg.com/n7/jfs/t1/168094/10/25032/59786/61e8d585E37780ad7/bd09df16cc47a217.jpg,599.00,高清HD+
5000万像素,暂无型号,12GB,256GB,支持5G,https://item.jd.com/100017224833.html,vivoiQOO 9,,https://img13.360buyimg.com/n7/jfs/t1/104143/21/27144/118825/6245bfb6Ebeafea91/122592885edf6af5.jpg,3999.00,其他
1亿像素,其他,8GB,128GB,支持5G,https://item.jd.com/100035246614.html,小米Redmi K50Pro,,https://img14.360buyimg.com/n7/jfs/t1/209771/1/19998/156638/6245c4bfE5dd6d759/ebdf32c8cf00abef.jpg,2999.00,WQHD
6400万像素,骁龙870,8GB,128GB,支持5G,https://item.jd.com/100026483136.html,真我GT Neo2,,https://img11.360buyimg.com/n7/jfs/t1/223386/13/14461/102415/624516e2E8100b6fe/7b3212005c5ba461.jpg,1999.00,全高清FHD+
6400万像素,骁龙865,8GB,128GB,支持5G,https://item.jd.com/100012756684.html,魅族17,,https://img14.360buyimg.com/n7/jfs/t1/219374/9/16374/86520/6246ad21Ed924a717/ff3d5a82c037be67.jpg,1929.00,全高清FHD+
未知后摄像素,暂无型号,12GB,256GB,支持5G,https://item.jd.com/100016216541.html,OPPOReno7 Pro,,https://img11.360buyimg.com/n7/jfs/t1/193224/2/21712/227698/624816bbE9ee08bfa/79a758ed8bb9d5a5.jpg,3999.00,全高清FHD+
1300万像素,暂无型号,4GB,32GB,不支持5G,https://item.jd.com/100018322907.html,金立G13 Pro,,https://img12.360buyimg.com/n7/jfs/t1/85645/32/20505/500612/61ea0d73E92b59631/d362f135e45227c3.jpg,499.00,其他
1300万像素,暂无型号,4GB,64GB,不支持5G,https://item.jd.com/100030498686.html,飞利浦PH1,,https://img11.360buyimg.com/n7/jfs/t1/160818/3/28961/97724/61c1659eE1cd275b0/ba91c19bfcc830f5.jpg,599.00,其他
未知后摄像素,暂无型号,8GB,128GB,不支持5G,https://item.jd.com/10029156183514.html,小米（MI）Redmi Note9 Pro,,https://img14.360buyimg.com/n7/jfs/t1/196918/14/11051/268395/61575d25E876384fc/8cb78f5aa301ddeb.jpg,1226.00,其他
4800万像素,骁龙870,12GB,256GB,支持5G,https://item.jd.com/10027090396947.html,vivoiQOO Neo5,,https://img12.360buyimg.com/n7/jfs/t1/148214/14/25096/79783/62346487Ed3b3eb06/a0e0c598e5918502.jpg,2499.00,其他
未知后摄像素,暂无型号,其他,128GB,支持5G,https://item.jd.com/10037092000781.html,AppleiPhone 13,,https://img11.360buyimg.com/n7/jfs/t1/111778/32/22379/146642/622b14d7Eb5b507f7/7dfae8c66228ea5a.jpg,5999.00,全高清FHD+
4800万像素,暂无型号,6GB,128GB,支持5G,https://item.jd.com/100026816856.html,诺基亚诺基亚G50,,https://img11.360buyimg.com/n7/jfs/t1/99310/16/24691/359371/62457096Ec4a7dd3e/708e8e6daf7e0824.jpg,1899.00,其他
1300万像素,暂无型号,4GB,32GB,不支持5G,https://item.jd.com/100016901939.html,飞利浦PH1,,https://img14.360buyimg.com/n7/jfs/t1/160746/37/27081/192302/61b1eb99E27764229/908419dceaeb4fad.jpg,559.00,其他
未知后摄像素,暂无型号,8GB,128GB,不支持5G,https://item.jd.com/10045986019009.html,华为nova9se 新品手机 搭载HarmonyOS系统 幻夜黑 8GB+128GB(华为原装66W充电套装),,https://img14.360buyimg.com/n7/jfs/t1/188259/29/22262/141652/6247b588Ebfc79b9b/7a06fa2db212baf6.jpg,2189.00,其他
其他,其他,2GB以下,8GB以下,不支持5G,https://item.jd.com/8184522.html,飞利浦E163K,,https://img12.360buyimg.com/n7/jfs/t1/214468/21/11798/130473/61f500f8E76d72fdb/516a982718614988.jpg,136.00,其他
未知后摄像素,暂无型号,8GB,128GB,支持5G,https://item.jd.com/10042230577182.html,OPPOOPPO K9x,,https://img12.360buyimg.com/n7/jfs/t1/188964/20/22569/187026/62486c63E19a74467/05ec88934e1217c4.jpg,1499.00,全高清FHD+
4800万像素,天玑720,6GB,128GB,支持5G,https://item.jd.com/10037647252616.html,华为（HUAWEI）优畅享20 Plus 5G,,https://img11.360buyimg.com/n7/jfs/t1/208862/17/13792/318675/61c53403Eb049a68e/6b80ec624f17fc35.jpg,1299.00,全高清FHD+
未知后摄像素,暂无型号,其他,其他,不支持5G,https://item.jd.com/100032333344.html,飞利浦E568,,https://img14.360buyimg.com/n7/jfs/t1/100276/32/27319/144100/62427211E3ae43af8/15dc894ebcb00036.jpg,219.00,其他
未知后摄像素,其他,8GB,256GB,不支持5G,https://item.jd.com/10026507815661.html,天语（K-Touch）T12Pro,,https://img11.360buyimg.com/n7/jfs/t1/98929/27/23696/328997/623c57a4E22744b96/375ea7f2efc2b4d1.jpg,699.00,高清HD+
6400万像素,麒麟985,8GB,128GB,支持5G,https://item.jd.com/10025670927821.html,华为（HUAWEI）nova 8 Pro,,https://img11.360buyimg.com/n7/jfs/t1/101386/22/24556/120034/6232c94bE180c5d95/fc59ba7577b3b5fd.jpg,3188.00,其他
1300万像素,其他,4GB,64GB,不支持5G,https://item.jd.com/10024688197536.html,OPPOoppoa32,,https://img11.360buyimg.com/n7/jfs/t1/126509/15/24939/144036/621f1a95Ecca8c9a3/f72c0c5cba86a0ce.jpg,899.00,其他
未知后摄像素,暂无型号,未知运行内存,未知机身内存,不支持5G,https://item.jd.com/10034774569347.html,荣耀（HONOR）荣耀Play5T Pro,,https://img12.360buyimg.com/n7/jfs/t1/217658/1/14583/82549/622c610cE1daf68f4/65fa3b27a1dc83e0.jpg,1009.00,未知分辨率
未知后摄像素,暂无型号,其他,其他,支持5G,https://item.jd.com/100028335560.html,OPPOK9s,,https://img10.360buyimg.com/n7/jfs/t1/215672/39/16088/103558/6245545eE49546651/a26a2ead110b2243.jpg,1699.00,其他
未知后摄像素,暂无型号,8GB,128GB,不支持5G,https://item.jd.com/10041130118411.html,华为（HUAWEI）nova 8 SE,,https://img11.360buyimg.com/n7/jfs/t1/220303/27/15829/195040/6243ae69E0f638dcb/3eb8fb9d699a2c84.jpg,1589.00,其他
1600万像素,其他,其他,128GB,不支持5G,https://item.jd.com/100028113404.html,索爱S08A,,https://img14.360buyimg.com/n7/jfs/t1/133500/23/26677/218119/622c4729E7fac7635/d2f1538e88dd86da.jpg,749.00,高清HD+
1300万像素,其他,6GB,128GB,支持5G,https://item.jd.com/100013035469.html,优畅享20 5G,,https://img14.360buyimg.com/n7/jfs/t1/177795/38/16651/52336/6103c51eE3283ed3f/91d57967b2b596dd.jpg,1299.00,其他
6400万像素,天玑900,8GB,128GB,支持5G,https://item.jd.com/10044058864433.html,荣耀（HONOR）荣耀60 SE,,https://img13.360buyimg.com/n7/jfs/t1/165185/22/21307/130621/623d67bdE9a62daa5/9dfdee6be24500e4.jpg,2199.01,其他
未知后摄像素,暂无型号,6GB,128GB,支持5G,https://item.jd.com/10046080086824.html,华为智选 优畅享20 5G手机 樱雪晴空 6GB+128GB,,https://img14.360buyimg.com/n7/jfs/t1/211722/9/14287/96033/6229c0eaE76ed4bf0/8304eeedaf036dac.jpg,998.00,其他
6400万像素,麒麟710A,8GB,128GB,不支持5G,https://item.jd.com/10043925698092.html,华为nova8se 手机 搭载HarmonyOS2系统 幻夜黑 8GB+128GB 官方标配,,https://img12.360buyimg.com/n7/jfs/t1/117245/11/24540/233649/623582adEd567bdd1/571ffadd33c1f5b1.jpg,1488.00,全高清FHD+
未知后摄像素,暂无型号,其他,256GB,支持5G,https://item.jd.com/100014374373.html,AppleiPhone 13,,https://img13.360buyimg.com/n7/jfs/t1/95385/32/18871/32974/6141640eEcda823dc/4747a4e5cb810429.jpg,6149.00,其他
500万像素,其他,2GB,16GB,不支持5G,https://item.jd.com/10041919895006.html,创星L1,,https://img11.360buyimg.com/n7/jfs/t1/209098/25/18167/161482/621899c5E41e06f11/cbe845183295160b.jpg,239.00,高清HD+
未知后摄像素,天玑720,6GB,128GB,不支持5G,https://item.jd.com/10043472399652.html,华为智选 优畅享20 5G 手机 亮黑色 全网通 6+128GB送碎屏宝（90天）,,https://img12.360buyimg.com/n7/jfs/t1/212716/19/13472/94357/621c8ed9E2b08cac8/900383103690c71b.jpg,999.00,其他
6400万像素,骁龙870,8GB,128GB,支持5G,https://item.jd.com/10034496649044.html,中兴（ZTE）中兴Axon 30,,https://img14.360buyimg.com/n7/jfs/t1/207660/30/20000/143525/622f1102E1364c477/281d0a7b9bd1b625.jpg,1888.00,全高清FHD+
未知后摄像素,暂无型号,6GB,128GB,支持5G,https://item.jd.com/10021174379644.html,华为智选 优 畅享20 5G手机 绮境森林 全网通5G (6GB+128GB)碎屏险套餐,,https://img14.360buyimg.com/n7/jfs/t1/126402/2/24154/57534/621d8b4fE30ec05ac/8d47fb8b1849e5c0.jpg,998.00,其他
未知后摄像素,暂无型号,6GB,128GB,不支持5G,https://item.jd.com/10024783384486.html,小米（MI）note9,,https://img11.360buyimg.com/n7/jfs/t1/218747/29/16559/223055/6247ae6dE8a8c1b6d/c54badecc7fbe6f7.jpg,945.00,未知分辨率
其他,其他,其他,其他,不支持5G,https://item.jd.com/100021875162.html,飞利浦E535,,https://img12.360buyimg.com/n7/jfs/t1/217469/28/1381/107363/61722dbdE69b40175/42a214ae52730b44.jpg,399.00,其他
6400万像素,骁龙870,12GB,256GB,支持5G,https://item.jd.com/100024111970.html,中兴A2322,,https://img10.360buyimg.com/n7/jfs/t1/103816/17/26181/354263/6245a69dE75fe1644/3c7340b089fc302b.jpg,2998.00,全高清FHD+
未知后摄像素,暂无型号,其他,64GB,不支持5G,https://item.jd.com/10044047021310.html,纽曼（Newman）纽曼M90,,https://img10.360buyimg.com/n7/jfs/t1/91427/15/24682/151667/62257eccEac9ded30/64e9c10e02818497.jpg,399.00,其他
6400万像素,骁龙778G,12GB,256GB,支持5G,https://item.jd.com/10037126096268.html,vivoiQOO Z5,,https://img13.360buyimg.com/n7/jfs/t1/216428/33/16603/179156/62483fbdEbeffba8a/6eadf03ff8653725.jpg,1999.00,全高清FHD+
未知后摄像素,暂无型号,6GB,128GB,支持5G,https://item.jd.com/100017343439.html,荣耀荣耀畅玩30 Plus,,https://img14.360buyimg.com/n7/jfs/t1/88101/38/25463/92155/623a7ec6Eab6a0241/8223c9ea8854fa91.jpg,1299.00,其他
未知后摄像素,暂无型号,8GB,128GB,支持5G,https://item.jd.com/10038520527731.html,OPPOK9s,,https://img11.360buyimg.com/n7/jfs/t1/175462/33/22613/177782/62471ad1E6a2e2264/0e38d026b6020122.jpg,1729.00,全高清FHD+
6400万像素,MT6873,8GB,128GB,支持5G,https://item.jd.com/10025016155410.html,华为（HUAWEI）麦芒9,,https://img10.360buyimg.com/n7/jfs/t1/135014/17/23661/238059/61fe9419E83e76dae/b2cd25262898b1d1.jpg,1599.00,全高清FHD+
4800万像素,骁龙888,12GB,256GB,支持5G,https://item.jd.com/10034781881557.html,vivoiQOO 8,,https://img12.360buyimg.com/n7/jfs/t1/207028/1/19700/167279/6248393bEbe0bdeae/9972f82eac9e0364.jpg,2999.00,其他
1亿像素,骁龙778G,8GB,256GB,支持5G,https://item.jd.com/10031725185726.html,荣耀（HONOR）荣耀50pro,,https://img11.360buyimg.com/n7/jfs/t1/88184/19/26016/134866/6246afb0E2b3f56e5/e0e54b4457828486.jpg,2479.00,全高清FHD+
1300万像素,其他,4GB,64GB,不支持5G,https://item.jd.com/10020835920967.html,OPPO A32 新品手机 【低至789+超值好礼】千元新机oppoa32 oppoa36款全网通 幻想蓝(4GB+64GB)【咨询有礼】 官方标配【加1年店铺延保】,,https://img12.360buyimg.com/n7/jfs/t1/203109/40/20489/168169/6247be68Ecf60e6a5/d41cb0b674535dfb.jpg,799.00,其他
未知后摄像素,暂无型号,其他,128GB,不支持5G,https://item.jd.com/10043678186817.html,新款P13 Pro超薄游戏智能手机可用5G移动联通电信卡老人学生智能手机长续航大屏百元机百事乐 石墨黑 全网通【8GB+128GB】,,https://img12.360buyimg.com/n7/jfs/t1/89288/15/22478/102068/621d8d23E2e9c4a4b/0f9117fb0617f223.jpg,679.00,其他
未知后摄像素,暂无型号,其他,其他,不支持5G,https://item.jd.com/10037467528681.html,金立（Gionee）T30,,https://img11.360buyimg.com/n7/jfs/t1/197178/28/10768/124609/61553461Ec14b4fd6/988ee4608a746b08.jpg,99.00,标清SD
6400万像素,骁龙8,12GB,256GB,支持5G,https://item.jd.com/10045024249233.html,联想（Lenovo）拯救者Y90,,https://img13.360buyimg.com/n7/jfs/t1/217250/6/16026/162924/624699e2Ec0703b5c/225d4eda7e0e5c98.jpg,3999.00,全高清FHD+
4800万像素,紫光展锐,8GB,256GB,支持5G,https://item.jd.com/10029585071532.html,AGMX5,,https://img12.360buyimg.com/n7/jfs/t1/134186/20/24184/107664/6232fe39E3b5d91e0/657ae1e4353b879c.jpg,2999.00,全高清FHD+
未知后摄像素,暂无型号,其他,其他,不支持5G,https://item.jd.com/10045099453196.html,努比亚（nubia）努比亚Z40Pro,,https://img11.360buyimg.com/n7/jfs/t1/223719/40/7141/100911/622ed63dEf39b85bc/832a50eade6049e4.jpg,3999.00,其他
未知后摄像素,天玑810,6GB,128GB,支持5G,https://item.jd.com/10042589561467.html,OPPOk9x,,https://img12.360buyimg.com/n7/jfs/t1/195731/6/22411/178133/62481ec9E88c0057c/c6d1e59725b5214d.jpg,1369.00,全高清FHD+
1300万像素,其他,4GB,64GB,不支持5G,https://item.jd.com/10579764830.html,酷风（KUFONE）防爆手机 化工厂 工业防爆 三防智能本安型手机 防水防摔 全网通4G 4G+64G（一机一证）,,https://img10.360buyimg.com/n7/jfs/t1/175704/25/1851/112161/6068af9bEc6f35a3d/00fcca25c5189a8e.jpg,2198.00,高清HD+
6400万像素,其他,8GB,128GB,支持5G,https://item.jd.com/10038216947450.html,华为智选麦芒 9 5G支持鸿蒙 6400万高清三摄6.8英寸全高清大屏 4300mAh大电池 绮境森林 8GB+128GB,,https://img10.360buyimg.com/n7/jfs/t1/218909/33/8078/172971/61b9a30eE437ec48a/b579443094c72811.jpg,1999.00,全高清FHD+
未知后摄像素,暂无型号,其他,其他,支持5G,https://item.jd.com/10046295884237.html,AppleiPhone SE,,https://img12.360buyimg.com/n7/jfs/t1/123215/10/26232/65880/6247f5ecE376994d2/a3fddcbcdd451f66.jpg,3899.00,其他
5000万像素,骁龙888,12GB,256GB,支持5G,https://item.jd.com/10028485589570.html,小米（MI）小米11pro,,https://img10.360buyimg.com/n7/jfs/t1/112991/14/20733/139622/6227201dE1291199e/5a85b4d12d84c838.jpg,3799.00,全高清FHD+
未知后摄像素,暂无型号,8GB,128GB,支持5G,https://item.jd.com/10044130959707.html,三星（SAMSUNG）三星 SAMSUNG Galaxy S22,,https://img12.360buyimg.com/n7/jfs/t1/164339/24/28204/142335/623179fdE149507e8/4e9c3f125e925ecd.jpg,4999.01,其他
未知后摄像素,暂无型号,8GB,128GB,支持5G,https://item.jd.com/10040985123678.html,荣耀（HONOR）荣耀 60,,https://img13.360buyimg.com/n7/jfs/t1/213473/33/15531/158344/623ad532Eea47bf96/73f77b53fc1a221f.jpg,2999.00,全高清FHD+
未知后摄像素,暂无型号,8GB,256GB,支持5G,https://item.jd.com/10044386504851.html,荣耀（HONOR）荣耀60pro,,https://img11.360buyimg.com/n7/jfs/t1/165456/16/28413/561558/623bdda5E3116118a/ba5e834811b73805.png,3999.00,其他
未知后摄像素,暂无型号,8GB,128GB,支持5G,https://item.jd.com/10038899545034.html,vivos10e,,https://img14.360buyimg.com/n7/jfs/t1/212200/11/16342/127707/62490ab4E3b4615f4/b6f25650f0af2c9f.jpg,1899.00,全高清FHD+
其他,其他,其他,其他,支持5G,https://item.jd.com/10032946665325.html,华为nova8 5G手机 麒麟985【支持鸿蒙】人脸指纹双解锁男女士款拍照曲面屏手机无充版 八号色 8GB+128GB简配碎屏险+66w充电套装,,https://img10.360buyimg.com/n7/jfs/t1/152703/10/11425/113134/5fe53f1eEd830915a/969d7c8517b17b6d.jpg,3799.00,其他
6400万像素,天玑1200,12GB,256GB,支持5G,https://item.jd.com/10030031182699.html,小米（MI）红米K40游戏增强版,,https://img14.360buyimg.com/n7/jfs/t1/199390/28/6479/399508/61331bd6E11a4f10f/e59ad73914973b19.png,2128.00,其他
4800万像素,其他,8GB,128GB,支持5G,https://item.jd.com/10030019444863.html,摩托罗拉（Motorola）moto g50,,https://img13.360buyimg.com/n7/jfs/t1/163234/16/21715/111343/6243fcdfE0f269cd6/4cce70f215c23a58.jpg,1099.00,其他
未知后摄像素,暂无型号,8GB,128GB,不支持5G,https://item.jd.com/100018779795.html,荣耀荣耀畅玩20 Pro,,https://img10.360buyimg.com/n7/jfs/t1/173263/39/28340/64773/620b143cE7d2c182a/5d6bfcf42353f9f7.jpg,1099.00,其他
4000万像素,其他,8GB,128GB,支持5G,https://item.jd.com/69586792167.html,荣耀（HONOR）荣耀X10 (5G),,https://img12.360buyimg.com/n7/jfs/t1/193062/4/9015/460501/60cd6b3cE1a008a7d/4544ea0185327658.jpg,2099.00,全高清FHD+
未知后摄像素,暂无型号,未知运行内存,未知机身内存,不支持5G,https://item.jd.com/30169175871.html,OPPOOPPO A57,,https://img11.360buyimg.com/n7/jfs/t1/118358/4/23607/231588/62487caeEd378cf2c/e8988cb9e73636cd.jpg,238.00,未知分辨率
未知后摄像素,暂无型号,8GB,256GB,支持5G,https://item.jd.com/10045248697341.html,华为（HUAWEI）mate40 e pro,,https://img11.360buyimg.com/n7/jfs/t1/218873/25/15827/185029/623fcde0E03913ad9/13b8c95d3d23b72e.jpg,6699.00,高清HD+
4800万像素,骁龙888,12GB,256GB,支持5G,https://item.jd.com/10030022090862.html,一加一加 9,,https://img12.360buyimg.com/n7/jfs/t1/118107/11/19143/96101/6242d86cEf95fae0c/31e0bcc45d5e25f6.jpg,2999.00,全高清FHD+
其他,其他,12GB,256GB,不支持5G,https://item.jd.com/10031435898679.html,真我（realme）GTneo闪速版,,https://img14.360buyimg.com/n7/jfs/t1/88938/22/20609/162492/61d3e428E4a3cb9a3/89c93e4c7012de58.jpg,1688.00,其他
未知后摄像素,暂无型号,未知运行内存,未知机身内存,不支持5G,https://item.jd.com/10024538595229.html,Apple苹果5s iPhone5s,,https://img14.360buyimg.com/n7/jfs/t1/152200/25/13530/647899/5ff55f2aE4c7108bb/3be5e664f7210c80.png,346.00,未知分辨率
1300万像素,Unisoc T610,6GB,128GB,不支持5G,https://item.jd.com/63065075398.html,荣耀畅玩20手机 全网通4G手机 老人机 学生智能机 备用机 5000毫安超大电池 极光蓝 全网通(6GB 128GB),,https://img13.360buyimg.com/n7/jfs/t1/183262/8/16406/55256/6100d58bEb9e26b24/ab048d605c491c3e.jpg,949.00,高清HD+
4800万像素,骁龙870,12GB,256GB,支持5G,https://item.jd.com/10027081598978.html,vivoiQOO Neo5,,https://img13.360buyimg.com/n7/jfs/t1/122281/39/25686/205806/623e8022E8460c782/31c3a1ce00493ed0.jpg,2499.00,全高清FHD+
4800万像素,骁龙870,12GB,256GB,支持5G,https://item.jd.com/10027089990361.html,vivoiQOO Neo5,,https://img11.360buyimg.com/n7/jfs/t1/93642/34/25311/169550/62345a50E50b66b7f/8244548b46919cd7.jpg,2499.00,其他
其他,其他,6GB,128GB,不支持5G,https://item.jd.com/100012559689.html,荣耀荣耀畅玩20,,https://img14.360buyimg.com/n7/jfs/t1/162351/5/20127/47806/60e7fa43E48543fa3/15ce2c04a93f4dc0.jpg,1099.00,其他
其他,其他,2GB以下,8GB以下,不支持5G,https://item.jd.com/8184520.html,飞利浦E163K,,https://img10.360buyimg.com/n7/jfs/t1/113173/1/21082/118996/61f4f6a8Ee33a6d55/644b5aad8b295124.jpg,136.00,其他
未知后摄像素,暂无型号,8GB,128GB,不支持5G,https://item.jd.com/100016479809.html,荣耀荣耀畅玩20 Pro,,https://img14.360buyimg.com/n7/jfs/t1/199385/25/18501/52620/619f5094Efa5f8ef0/9e3a71402259f5eb.jpg,1699.00,其他
1600万像素,其他,6GB,128GB,支持5G,https://item.jd.com/10025627726016.html,OPPOA53,,https://img11.360buyimg.com/n7/jfs/t1/183663/39/21625/155981/62418025E0f15aa43/72135f066072ef2f.jpg,1399.00,全高清FHD+
1300万像素,其他,8GB,128GB,不支持5G,https://item.jd.com/10034020290735.html,天语（K-Touch）P50 pro,,https://img10.360buyimg.com/n7/jfs/t1/179881/12/14172/359575/60f2a409E1026cde2/6db98b5b827b69b1.png,499.00,其他
1300万像素,其他,4GB,64GB,不支持5G,https://item.jd.com/100010599161.html,小米Redmi 9A,,https://img11.360buyimg.com/n7/jfs/t1/113178/31/15466/56493/5f3deed5E953e7714/959063c3b3ec10e8.jpg,599.00,其他
5000万像素,骁龙888 Plus,8GB,256GB,支持5G,https://item.jd.com/10034567471152.html,荣耀（HONOR）荣耀Magic3系列,,https://img12.360buyimg.com/n7/jfs/t1/183959/2/22544/222191/6246798fEb9dda897/7b2e40a2a2ff7c14.jpg,4899.00,全高清FHD+
未知后摄像素,暂无型号,未知运行内存,256GB,支持5G,https://item.jd.com/100035339146.html,荣耀荣耀手机,,https://img11.360buyimg.com/n7/jfs/t1/104446/20/26589/149208/624826a9Ef5a9712a/fbcefb726dab7359.jpg,5899.00,未知分辨率
未知后摄像素,暂无型号,未知运行内存,其他,不支持5G,https://item.jd.com/100036253556.html,vivoX Note,,https://img11.360buyimg.com/n7/jfs/t1/131843/37/27187/175035/6246f2a5E51e64878/15c16506adbb20da.jpg,99998.00,未知分辨率
未知后摄像素,暂无型号,其他,128GB,支持5G,https://item.jd.com/100015515549.html,APPLEiPhone 13,,https://img14.360buyimg.com/n7/jfs/t1/156160/25/27907/32974/61767cd7Eb5f50caf/53e38d25a89ca320.jpg,5799.00,其他
6400万像素,天玑800U,8GB,128GB,支持5G,https://item.jd.com/100019269670.html,荣耀V40 轻奢版 5G,,https://img10.360buyimg.com/n7/jfs/t1/168657/28/13626/199780/60541338Ec62904fc/2cf535fb9d33f49d.jpg,2999.00,全高清FHD+
未知后摄像素,暂无型号,8GB,128GB,不支持5G,https://item.jd.com/10042268608779.html,华为（HUAWEI）nova 8 SE ,,https://img14.360buyimg.com/n7/jfs/t1/131834/26/25830/93709/623933b9E762d9bc0/e573d594c20c5f92.jpg,1799.00,其他
未知后摄像素,天玑920,8GB,256GB,支持5G,https://item.jd.com/10039331815178.html,小米（MI）Note 11 Pro ,,https://img13.360buyimg.com/n7/jfs/t1/137480/8/25562/128978/623d7ebcE55f492dc/b88fec356fa46dec.jpg,2399.00,其他
